"Kod";"Nazwa";"odsetek dzieci objętych opieką w żłobkach;ogółem;2012;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2013;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2014;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2015;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2016;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2017;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2018;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2019;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2020;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2021;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2022;[%]";"odsetek dzieci objętych opieką w żłobkach;ogółem;2023;[%]";
0200000;"DOLNOŚLĄSKIE";6,6;8,1;10,0;11,3;12,5;13,9;16,6;19,2;20,2;23,2;25,8;28,4;
0400000;"KUJAWSKO-POMORSKIE";3,0;3,5;4,3;4,9;5,6;6,5;8,1;10,0;10,8;13,7;15,7;17,4;
0600000;"LUBELSKIE";2,6;3,3;3,8;4,5;5,3;6,1;7,7;9,3;9,8;12,8;14,9;16,0;
0800000;"LUBUSKIE";5,1;6,3;7,7;7,9;9,3;10,1;12,7;14,5;15,5;19,2;22,4;24,6;
1000000;"ŁÓDZKIE";4,8;5,2;5,8;6,4;7,7;8,3;10,0;11,6;11,4;13,6;16,6;17,8;
1200000;"MAŁOPOLSKIE";3,2;4,3;5,2;6,3;7,6;8,9;10,7;12,0;12,1;14,3;16,9;18,6;
1400000;"MAZOWIECKIE";4,2;5,4;6,9;7,7;8,7;9,5;11,1;13,5;14,1;16,6;19,5;20,9;
1600000;"OPOLSKIE";7,2;8,7;9,7;11,2;12,3;12,5;15,8;17,2;17,6;20,9;24,4;25,9;
1800000;"PODKARPACKIE";3,3;4,0;4,8;5,7;6,6;7,6;9,7;11,2;11,3;14,2;16,4;17,2;
2000000;"PODLASKIE";4,0;4,8;6,2;7,0;7,8;8,2;10,6;12,2;12,2;15,5;17,3;19,5;
2200000;"POMORSKIE";2,3;3,9;5,4;6,0;6,3;7,0;8,4;10,6;11,3;13,9;15,7;16,4;
2400000;"ŚLĄSKIE";3,4;4,2;5,1;6,1;7,2;8,1;10,0;11,5;12,2;15,2;17,4;19,0;
2600000;"ŚWIĘTOKRZYSKIE";2,6;3,4;3,9;4,3;5,3;5,8;6,9;8,5;8,8;11,6;13,7;15,3;
2800000;"WARMIŃSKO-MAZURSKIE";2,6;3,1;3,8;4,2;5,3;5,7;6,9;8,6;9,1;10,6;12,7;14,0;
3000000;"WIELKOPOLSKIE";3,1;4,0;5,4;6,1;7,5;8,4;10,3;12,2;12,1;14,3;16,9;18,1;
3200000;"ZACHODNIOPOMORSKIE";4,6;6,0;7,3;8,6;9,3;10,0;12,6;14,7;15,5;19,1;21,9;23,1;
