"Kod";"Nazwa";"żłobki;2012;[ob.]";"żłobki;2013;[ob.]";"żłobki;2014;[ob.]";"żłobki;2015;[ob.]";"żłobki;2016;[ob.]";"żłobki;2017;[ob.]";"żłobki;2018;[ob.]";"żłobki;2019;[ob.]";"żłobki;2020;[ob.]";"żłobki;2021;[ob.]";"żłobki;2022;[ob.]";"żłobki;2023;[ob.]";
0200000;"DOLNOŚLĄSKIE";78;127;187;219;243;275;330;378;399;420;417;427;
0400000;"KUJAWSKO-POMORSKIE";24;33;47;60;68;83;112;133;139;168;182;191;
0600000;"LUBELSKIE";25;38;44;52;67;78;116;140;163;190;198;200;
0800000;"LUBUSKIE";22;35;47;47;54;58;77;83;88;100;109;114;
1000000;"ŁÓDZKIE";49;59;70;74;94;107;147;179;186;215;227;245;
1200000;"MAŁOPOLSKIE";61;97;145;171;219;265;336;399;433;458;478;513;
1400000;"MAZOWIECKIE";119;194;306;373;422;476;579;677;681;752;804;790;
1600000;"OPOLSKIE";34;40;50;57;63;71;88;96;99;110;120;120;
1800000;"PODKARPACKIE";31;44;67;77;93;112;148;175;191;209;225;232;
2000000;"PODLASKIE";13;16;32;39;52;58;83;100;109;118;129;138;
2200000;"POMORSKIE";35;115;158;161;159;173;191;214;227;249;271;285;
2400000;"ŚLĄSKIE";74;111;145;177;204;246;309;350;384;415;425;440;
2600000;"ŚWIĘTOKRZYSKIE";14;22;28;31;38;43;53;65;68;81;89;85;
2800000;"WARMIŃSKO-MAZURSKIE";16;25;36;48;57;61;77;92;89;93;105;109;
3000000;"WIELKOPOLSKIE";79;110;169;199;234;268;327;395;407;444;476;493;
3200000;"ZACHODNIOPOMORSKIE";25;46;74;89;105;111;134;155;168;178;191;198;
